PMID,title,journal,nodeGroup
21150709,Messenger RNA-based vaccines with dual activity induce balanced TLR-7 dependent adaptive immune responses and provide antitumor activity.,"Journal of immunotherapy (Hagerstown, Md. : 1997)",2
12690091,Identification of a novel coronavirus in patients with severe acute respiratory syndrome.,The New England journal of medicine,2
32142651,SARS-CoV-2 Cell Entry Depends on ACE2 and TMPRSS2 and Is Blocked by a Clinically Proven Protease Inhibitor.,Cell,2
16035944,Vaccine design for severe acute respiratory syndrome coronavirus.,Viral immunology,2
29872003,ISOLDE: a physically realistic environment for model building into low-resolution electron-density maps.,"Acta crystallographica. Section D, Structural biology",2
32199492,"Safety, reactogenicity, and immunogenicity of a chimpanzee adenovirus vectored Ebola vaccine in children in Africa: a randomised, observer-blind, placebo-controlled, phase 2 trial.",The Lancet. Infectious diseases,2
15367630,Retroviruses pseudotyped with the severe acute respiratory syndrome coronavirus spike protein efficiently infect cells expressing angiotensin-converting enzyme 2.,Journal of virology,2
29277291,Adaptive evolution influences the infectious dose of MERS-CoV necessary to achieve severe respiratory disease.,Virology,2
32640463,Factors associated with COVID-19-related death using OpenSAFELY.,Nature,2
7839312,Properties of inhibitory and excitatory synapses between hippocampal neurons in very low density cultures.,"Synapse (New York, N.Y.)",2
32007145,Genomic characterisation and epidemiology of 2019 novel coronavirus: implications for virus origins and receptor binding.,"Lancet (London, England)",2
29069368,Immune Responses to Twice-Annual Influenza Vaccination in Older Adults in Hong Kong.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2
32267220,Severe Acute Respiratory Syndrome Coronavirus 2-Specific Antibody Responses in Coronavirus Disease Patients.,Emerging infectious diseases,2
20461061,Targeted delivery of RNAi therapeutics with endogenous and exogenous ligand-based mechanisms.,Molecular therapy : the journal of the American Society of Gene Therapy,2
33077678,Prospects for a safe COVID-19 vaccine.,Science translational medicine,1
15194798,An exposed domain in the severe acute respiratory syndrome coronavirus spike protein induces neutralizing antibodies.,Journal of virology,2
14567964,Fatal systemic inflammatory response syndrome in a ornithine transcarbamylase deficient patient following adenoviral gene transfer.,Molecular genetics and metabolism,2
14569023,Reverse genetics with a full-length infectious cDNA of severe acute respiratory syndrome coronavirus.,Proceedings of the National Academy of Sciences of the United States of America,2
17313487,Immunosenescence: emerging challenges for an ageing population.,Immunology,2
18753223,Severe acute respiratory syndrome vaccine efficacy in ferrets: whole killed virus and adenovirus-vectored vaccines.,The Journal of general virology,2
16195440,Virology. Researchers tie deadly SARS virus to bats.,"Science (New York, N.Y.)",2
15530413,Inactivated SARS-CoV vaccine elicits high titers of spike protein-specific antibodies that block receptor binding and virus entry.,Biochemical and biophysical research communications,2
20008423,Motavizumab for prophylaxis of respiratory syncytial virus in high-risk children: a noninferiority trial.,Pediatrics,2
32207377,Establishment and validation of a pseudovirus neutralization assay for SARS-CoV-2.,Emerging microbes & infections,2
15314040,A subcutaneously injected UV-inactivated SARS coronavirus vaccine elicits systemic humoral immunity in mice.,International immunology,2
1889744,Modulation of firefly luciferase stability and impact on studies of gene regulation.,Gene,2
27578435,"Structure, Function, and Evolution of Coronavirus Spike Proteins.",Annual review of virology,2
32235945,Virological assessment of hospitalized patients with COVID-2019.,Nature,2
22908294,Nonviral delivery of self-amplifying RNA vaccines.,Proceedings of the National Academy of Sciences of the United States of America,2
11599686,Increased immunogenicity of the MF59-adjuvanted influenza vaccine compared to a conventional subunit vaccine in elderly subjects.,European journal of epidemiology,2
31986264,"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China.","Lancet (London, England)",2
32877576,Phase 1-2 Trial of a SARS-CoV-2 Recombinant Spike Protein Nanoparticle Vaccine.,The New England journal of medicine,1
14715271,A model of the ACE2 structure and function as a SARS-CoV receptor.,Biochemical and biophysical research communications,2
12781533,Epidemiological determinants of spread of causal agent of severe acute respiratory syndrome in Hong Kong.,"Lancet (London, England)",2
32785213,Phase I/II study of COVID-19 RNA vaccine BNT162b1 in adults.,Nature,2
28413427,Immunogenicity and safety of a respiratory syncytial virus fusion protein (RSV F) nanoparticle vaccine in older adults.,Immunity & ageing : I & A,2
30681265,"OMIP-052: An 18-Color Panel for Measuring Th1, Th2, Th17, and Tfh Responses in Rhesus Macaques.",Cytometry. Part A : the journal of the International Society for Analytical Cytology,2
26259809,"A Randomized, Blinded, Controlled, Dose-Ranging Study of a Respiratory Syncytial Virus Recombinant Fusion (F) Nanoparticle Vaccine in Healthy Women of Childbearing Age.",The Journal of infectious diseases,2
32079150,Incubation Period and Other Epidemiological Characteristics of 2019 Novel Coronavirus Infections with Right Truncation: A Statistical Analysis of Publicly Available Case Data.,Journal of clinical medicine,2
15755610,Evaluation of modified vaccinia virus Ankara based recombinant SARS vaccine in ferrets.,Vaccine,2
8559660,Stabilization of RNA stacking by pseudouridine.,Nucleic acids research,2
15286725,Fibrotic disease and the T(H)1/T(H)2 paradigm.,Nature reviews. Immunology,2
25119609,Efficacy of high-dose versus standard-dose influenza vaccine in older adults.,The New England journal of medicine,2
30616012,"Efficacy, safety and immunogenicity of live attenuated varicella vaccine in healthy children in China: double-blind, randomized, placebo-controlled clinical trial.",Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases,2
22816037,Mechanisms of coronavirus cell entry mediated by the viral spike protein.,Viruses,2
18824060,A SARS DNA vaccine induces neutralizing antibody and cellular immune responses in healthy adults in a Phase I clinical trial.,Vaccine,2
26218507,Evaluation of candidate vaccine approaches for MERS-CoV.,Nature communications,2
15731234,B-cell responses in patients who have recovered from severe acute respiratory syndrome target a dominant site in the S2 domain of the surface spike glycoprotein.,Journal of virology,2
32926660,Review of Current Vaccine Development Strategies to Prevent Coronavirus Disease 2019 (COVID-19).,Toxicologic pathology,1
32670071,Convalescent Plasma Coupled With Medications for the Treatment of a Severe COVID-19 Patient: Drugs Analysis and Pharmaceutical Care Based on the Newly Established Guidelines for COVID-19 Remedy.,Frontiers in pharmacology,2
30501873,Vaccination in the elderly: The challenge of immune changes with aging.,Seminars in immunology,2
32497196,Neutralizing Antibodies Responses to SARS-CoV-2 in COVID-19 Inpatients and Convalescent Patients.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2
8552671,"In vitro activation of the interferon-induced, double-stranded RNA-dependent protein kinase PKR by RNA from the 3' untranslated regions of human alpha-tropomyosin.",Proceedings of the National Academy of Sciences of the United States of America,2
32526206,SARS-CoV-2 Reverse Genetics Reveals a Variable Infection Gradient in the Respiratory Tract.,Cell,2
12163607,"Stabilization of the soluble, cleaved, trimeric form of the envelope glycoprotein complex of human immunodeficiency virus type 1.",Journal of virology,2
32979941,Robust T Cell Immunity in Convalescent Individuals with Asymptomatic or Mild COVID-19.,Cell,2
28807998,Immunogenicity and structures of a rationally designed prefusion MERS-CoV spike antigen.,Proceedings of the National Academy of Sciences of the United States of America,2
18656518,The contribution of type I interferon signaling to immunity induced by alphavirus replicon vaccines.,Vaccine,2
28931244,The Importance of Frailty in the Assessment of Influenza Vaccine Effectiveness Against Influenza-Related Hospitalization in Elderly People.,The Journal of infectious diseases,2
15749124,Identification of a critical neutralization determinant of severe acute respiratory syndrome (SARS)-associated coronavirus: importance for designing SARS vaccines.,Virology,2
22166544,"RNAscope: a novel in situ RNA analysis platform for formalin-fixed, paraffin-embedded tissues.",The Journal of molecular diagnostics : JMD,2
32595632,Structure-Based Design of Nipah Virus Vaccines: A Generalizable Approach to Paramyxovirus Immunogen Development.,Frontiers in immunology,2
17200946,Immunosenescence of ageing.,The Journal of pathology,2
15208624,The RNA helicase RIG-I has an essential function in double-stranded RNA-induced innate antiviral responses.,Nature immunology,2
20110095,Immunization with an attenuated severe acute respiratory syndrome coronavirus deleted in E protein protects against lethal respiratory disease.,Virology,2
19234811,Differential characteristics of the early stage of lung inflammation induced by SARS-CoV Nucleocapsid protein related to age in the mouse.,Inflammation research : official journal of the European Histamine Research Society ... [et al.],2
19036930,Synthetic recombinant bat SARS-like coronavirus is infectious in cultured cells and in mice.,Proceedings of the National Academy of Sciences of the United States of America,2
29467399,Assessment of novel vaccination regimens using viral vectored liver stage malaria vaccines encoding ME-TRAP.,Scientific reports,2
32346146,The race for coronavirus vaccines: a graphical guide.,Nature,2
29066091,Influenza vaccination in tropical and subtropical areas.,The Lancet. Respiratory medicine,2
32015507,A pneumonia outbreak associated with a new coronavirus of probable bat origin.,Nature,2
32896291,"Safety and immunogenicity of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine in two formulations: two open, non-randomised phase 1/2 studies from Russia.","Lancet (London, England)",2
12184362,Mechanisms of stimulation of the immune response by aluminum adjuvants.,Vaccine,2
23824369,Traditional and new influenza vaccines.,Clinical microbiology reviews,2
33089772,"Serologic Responses in Healthy Adult with SARS-CoV-2 Reinfection, Hong Kong, August 2020.",Emerging infectious diseases,2
23618766,Structure of RSV fusion glycoprotein trimer bound to a prefusion-specific neutralizing antibody.,"Science (New York, N.Y.)",2
32277878,"First-wave COVID-19 transmissibility and severity in China outside Hubei after control measures, and second-wave scenario planning: a modelling impact assessment.","Lancet (London, England)",2
6072745,Altered reactivity to measles virus. Atypical measles in children previously immunized with inactivated measles virus vaccines.,JAMA,2
24453361,Blocking of exchange proteins directly activated by cAMP leads to reduced replication of Middle East respiratory syndrome coronavirus.,Journal of virology,2
16121363,A serological survey on neutralizing antibody titer of SARS convalescent sera.,Journal of medical virology,2
21632986,MF59 adjuvant enhances diversity and affinity of antibody-mediated immune response to pandemic influenza vaccines.,Science translational medicine,2
32346093,"The trinity of COVID-19: immunity, inflammation and intervention.",Nature reviews. Immunology,2
14976262,Species-specific recognition of single-stranded RNA via toll-like receptor 7 and 8.,"Science (New York, N.Y.)",2
14963300,Medicine. Caution urged on SARS vaccines.,"Science (New York, N.Y.)",2
31402384,Safety and Immunogenicity of a Respiratory Syncytial Virus Fusion (F) Protein Nanoparticle Vaccine in Healthy Third-Trimester Pregnant Women and Their Infants.,The Journal of infectious diseases,2
22782619,Maximizing the potency of siRNA lipid nanoparticles for hepatic gene silencing in vivo.,Angewandte Chemie (International ed. in English),2
32637598,Impact of mRNA chemistry and manufacturing process on innate immune activation.,Science advances,2
27892925,A mouse model for MERS coronavirus-induced acute respiratory distress syndrome.,Nature microbiology,2
14670965,A 193-amino acid fragment of the SARS coronavirus S protein efficiently binds angiotensin-converting enzyme 2.,The Journal of biological chemistry,2
32393526,A strategic approach to COVID-19 vaccine R&amp;D.,"Science (New York, N.Y.)",2
25830322,A Recombinant Vesicular Stomatitis Virus Ebola Vaccine.,The New England journal of medicine,2
16169905,Severe acute respiratory syndrome coronavirus-like virus in Chinese horseshoe bats.,Proceedings of the National Academy of Sciences of the United States of America,2
15210961,Contributions of the structural proteins of severe acute respiratory syndrome coronavirus to protective immunity.,Proceedings of the National Academy of Sciences of the United States of America,2
32433465,Immunogenicity of a DNA vaccine candidate for COVID-19.,Nature communications,2
25629663,A Monovalent Chimpanzee Adenovirus Ebola Vaccine Boosted with MVA.,The New England journal of medicine,2
32555134,"Coronavirus Disease 2019 Case Surveillance - United States, January 22-May 30, 2020.",MMWR. Morbidity and mortality weekly report,2
23051623,Manual restraint and common compound administration routes in mice and rats.,Journal of visualized experiments : JoVE,2
17037596,"Resurrection of an ""extinct"" SARS-CoV isolate GD03 from late 2003.",Advances in experimental medicine and biology,2
6754243,Antibody-mediated enhancement of disease in feline infectious peritonitis: comparisons with dengue hemorrhagic fever.,"Comparative immunology, microbiology and infectious diseases",2
27708058,Rapid development of a DNA vaccine for Zika virus.,"Science (New York, N.Y.)",2
19800030,Phylogenetic perspectives on the epidemiology and origins of SARS and SARS-like coronaviruses.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",2
32887977,Broad and strong memory CD4<sup>+</sup> and CD8<sup>+</sup> T cells induced by SARS-CoV-2 in UK convalescent individuals following COVID-19.,Nature immunology,2
32434946,SARS-CoV-2 infection protects against rechallenge in rhesus macaques.,"Science (New York, N.Y.)",2
26465999,Adjuvanted Herpes Zoster Subunit Vaccine in Older Adults.,The New England journal of medicine,1
16873249,Supramolecular architecture of severe acute respiratory syndrome coronavirus revealed by electron cryomicroscopy.,Journal of virology,2
30551178,Comparative Immunogenicity of Enhanced Seasonal Influenza Vaccines in Older Adults: A Systematic Review and Meta-analysis.,The Journal of infectious diseases,2
14976261,Innate antiviral responses by means of TLR7-mediated recognition of single-stranded RNA.,"Science (New York, N.Y.)",2
33335322,Phase 1/2 trial of SARS-CoV-2 vaccine ChAdOx1 nCoV-19 with a booster dose induces multifunctional antibody responses.,Nature medicine,2
25714138,Immunogenicity of intramuscular MF59-adjuvanted and intradermal administered influenza enhanced vaccines in subjects aged over 60: A literature review.,Human vaccines & immunotherapeutics,2
26264835,Expression kinetics of nucleoside-modified mRNA delivered in lipid nanoparticles to mice by various routes.,Journal of controlled release : official journal of the Controlled Release Society,1
16461566,Specific epitopes of the structural and hypothetical proteins elicit variable humoral responses in SARS patients.,Journal of clinical pathology,2
33301246,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine.,The New England journal of medicine,0
25882242,Type 2 cytokines: mechanisms and therapeutic strategies.,Nature reviews. Immunology,2
32555388,Convergent antibody responses to SARS-CoV-2 in convalescent individuals.,Nature,2
20463105,Correlates of protection induced by vaccination.,Clinical and vaccine immunology : CVI,2
18018769,Safety and immunogenicity from a phase I trial of inactivated severe acute respiratory syndrome coronavirus vaccine.,Antiviral therapy,2
23526951,Risk in vaccine research and development quantified.,PloS one,2
19345285,A novel histologic scoring system to evaluate mucosal biopsies from patients with eosinophilic esophagitis.,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,2
15043961,Interaction between heptad repeat 1 and 2 regions in spike protein of SARS-associated coronavirus: implications for virus fusogenic mechanism and identification of fusion inhibitors.,"Lancet (London, England)",2
19079256,Lack of antibody affinity maturation due to poor Toll-like receptor stimulation leads to enhanced respiratory syncytial virus disease.,Nature medicine,2
12781535,Clinical progression and viral load in a community outbreak of coronavirus-associated SARS pneumonia: a prospective study.,"Lancet (London, England)",2
32731258,ChAdOx1 nCoV-19 vaccine prevents SARS-CoV-2 pneumonia in rhesus macaques.,Nature,1
27346939,"Available influenza vaccines: immunization strategies, history and new tools for fighting the disease.",Journal of preventive medicine and hygiene,2
10918143,Optimization of repeated-batch transcription for RNA production.,Biotechnology and bioengineering,2
32943637,"A systematic review of antibody mediated immunity to coronaviruses: kinetics, correlates of protection, and association with severity.",Nature communications,2
31613649,Aiming for protective T-cell responses: a focus on the first generation conserved-region HIVconsv vaccines in preventive and therapeutic clinical trials.,Expert review of vaccines,2
15814718,Receptor-binding domain of severe acute respiratory syndrome coronavirus spike protein contains multiple conformation-dependent epitopes that induce highly potent neutralizing antibodies.,"Journal of immunology (Baltimore, Md. : 1950)",2
23296925,In vitro transcription of long RNA containing modified nucleosides.,"Methods in molecular biology (Clifton, N.J.)",2
30785039,Optimization of Lipid Nanoparticles for Intramuscular Administration of mRNA Vaccines.,Molecular therapy. Nucleic acids,2
32366511,Developing a vaccine for covid-19.,BMJ (Clinical research ed.),2
33378609,Efficacy and Safety of the mRNA-1273 SARS-CoV-2 Vaccine.,The New England journal of medicine,0
16586358,Dose-related safety and immunogenicity of a trivalent baculovirus-expressed influenza-virus hemagglutinin vaccine in elderly adults.,The Journal of infectious diseases,2
32064853,[The epidemiological characteristics of an outbreak of 2019 novel coronavirus diseases (COVID-19) in China].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,2
20980507,Successful vaccination strategies that protect aged mice from lethal challenge from influenza virus and heterologous severe acute respiratory syndrome coronavirus.,Journal of virology,2
15155925,"Infectious diseases. One year after outbreak, SARS virus yields some secrets.","Science (New York, N.Y.)",2
32473127,Targets of T Cell Responses to SARS-CoV-2 Coronavirus in Humans with COVID-19 Disease and Unexposed Individuals.,Cell,2
32385100,Rapid COVID-19 vaccine development.,"Science (New York, N.Y.)",2
30703077,"Postlicensure Safety Surveillance of Recombinant Zoster Vaccine (Shingrix) - United States, October 2017-June 2018.",MMWR. Morbidity and mortality weekly report,2
23542122,A simple method of mouse lung intubation.,Journal of visualized experiments : JoVE,2
32663912,An mRNA Vaccine against SARS-CoV-2 - Preliminary Report.,The New England journal of medicine,1
21619905,"International seroepidemiology of adenovirus serotypes 5, 26, 35, and 48 in pediatric and adult populations.",Vaccine,2
25233993,mRNA-based therapeutics--developing a new class of drugs.,Nature reviews. Drug discovery,2
29456015,Multi-antigenic human cytomegalovirus mRNA vaccines that elicit potent humoral and cell-mediated immunity.,Vaccine,2
31591575,Real-time cryo-electron microscopy data preprocessing with Warp.,Nature methods,2
28165473,cryoSPARC: algorithms for rapid unsupervised cryo-EM structure determination.,Nature methods,2
31312806,Therapeutic Vaccination Refocuses T-cell Responses Towards Conserved Regions of HIV-1 in Early Treated Individuals (BCN 01 study).,EClinicalMedicine,2
18582997,Alphavirus replicon particles acting as adjuvants promote CD8+ T cell responses to co-delivered antigen.,Vaccine,2
15033360,Very fast folding and association of a trimerization domain from bacteriophage T4 fibritin.,Journal of molecular biology,2
28635557,"Cellular immune responses of older adults to four influenza vaccines: Results of a randomized, controlled comparison.",Human vaccines & immunotherapeutics,2
14564000,LMO2-associated clonal T cell proliferation in two patients after gene therapy for SCID-X1.,"Science (New York, N.Y.)",2
31986261,A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating person-to-person transmission: a study of a family cluster.,"Lancet (London, England)",2
31712433,mRNA structure regulates protein expression through changes in functional half-life.,Proceedings of the National Academy of Sciences of the United States of America,2
29897849,Improved Titers against Influenza Drift Variants with a Nanoparticle Vaccine.,The New England journal of medicine,2
18562523,Cathepsin L functionally cleaves the severe acute respiratory syndrome coronavirus class I fusion protein upstream of rather than adjacent to the fusion peptide.,Journal of virology,2
15572765,Coot: model-building tools for molecular graphics.,"Acta crystallographica. Section D, Biological crystallography",2
32087114,An interactive web-based dashboard to track COVID-19 in real time.,The Lancet. Infectious diseases,2
15827197,Aged BALB/c mice as a model for increased severity of severe acute respiratory syndrome in elderly humans.,Journal of virology,2
15670750,The role of apolipoprotein E in the elimination of liposomes from blood by hepatocytes in the mouse.,Biochemical and biophysical research communications,2
19393959,Incubation periods of acute respiratory viral infections: a systematic review.,The Lancet. Infectious diseases,2
32726802,A vaccine targeting the RBD of the S protein of SARS-CoV-2 induces protective immunity.,Nature,2
32320465,Phase 1 Safety and Immunogenicity Study of a Respiratory Syncytial Virus Vaccine With an Adenovirus 26 Vector Encoding Prefusion F (Ad26.RSV.preF) in Adults Aged ≥60 Years.,The Journal of infectious diseases,2
28017642,"Immunity duration of a recombinant adenovirus type-5 vector-based Ebola vaccine and a homologous prime-boost immunisation in healthy adults in China: final report of a randomised, double-blind, placebo-controlled, phase 1 trial.",The Lancet. Global health,2
32722908,Evaluation of the mRNA-1273 Vaccine against SARS-CoV-2 in Nonhuman Primates.,The New England journal of medicine,1
12734147,Clinical features and short-term outcomes of 144 patients with SARS in the greater Toronto area.,JAMA,2
27617430,Glycan shield and epitope masking of a coronavirus spike protein observed by cryo-electron microscopy.,Nature structural & molecular biology,2
17416434,Vaccines to prevent severe acute respiratory syndrome coronavirus-induced disease.,Virus research,2
16022774,SARS vaccine development.,Emerging infectious diseases,2
23799535,Biodegradable lipids enabling rapidly eliminated lipid nanoparticles for systemic delivery of RNAi therapeutics.,Molecular therapy : the journal of the American Society of Gene Therapy,2
29566112,Novel Vaccine Technologies: Essential Components of an Adequate Response to Emerging Viral Diseases.,JAMA,2
16213065,Antibody response to influenza vaccination in the elderly: a quantitative review.,Vaccine,2
28275193,Structure-Based Design of a Soluble Prefusion-Closed HIV-1 Env Trimer with Reduced CD4 Affinity and Improved Immunogenicity.,Journal of virology,2
32450106,"Safety, tolerability, and immunogenicity of a recombinant adenovirus type-5 vectored COVID-19 vaccine: a dose-escalation, open-label, non-randomised, first-in-human trial.","Lancet (London, England)",2
15695582,Cross-host evolution of severe acute respiratory syndrome coronavirus in palm civet and human.,Proceedings of the National Academy of Sciences of the United States of America,2
12958366,Isolation and characterization of viruses related to the SARS coronavirus from animals in southern China.,"Science (New York, N.Y.)",2
17344286,Severe acute respiratory syndrome coronavirus accessory protein 6 is a virion-associated protein and is released from 6 protein-expressing cells.,Journal of virology,2
32074444,SARS-CoV-2 Viral Load in Upper Respiratory Specimens of Infected Patients.,The New England journal of medicine,2
32998157,COVID-19 vaccine BNT162b1 elicits human antibody and T<sub>H</sub>1 T cell responses.,Nature,2
