PMID,title,journal,nodeGroup,isSpikeNode
15381196,Cellular entry of the SARS coronavirus.,Trends in microbiology,2,0
27061888,Variable influenza vaccine effectiveness by subtype: a systematic review and meta-analysis of test-negative design studies.,The Lancet. Infectious diseases,2,0
32203189,Characterization of the receptor-binding domain (RBD) of 2019 novel coronavirus: implication for development of RBD protein as a viral attachment inhibitor and vaccine.,Cellular & molecular immunology,2,0
32697968,Tracking Changes in SARS-CoV-2 Spike: Evidence that D614G Increases Infectivity of the COVID-19 Virus.,Cell,2,1
32618497,High neutralizing antibody titer in intensive care unit patients with COVID-19.,Emerging microbes & infections,2,0
27682426,Pre-fusion F is absent on the surface of formalin-inactivated respiratory syncytial virus.,Scientific reports,2,0
19198616,The spike protein of SARS-CoV--a target for vaccine and therapeutic development.,Nature reviews. Microbiology,2,0
20362616,Ageing and immunity: addressing immune senescence to ensure healthy ageing.,Vaccine,2,0
23296926,HPLC purification of in vitro transcribed long RNA.,"Methods in molecular biology (Clifton, N.J.)",2,0
26038486,Rapidly produced SAM(®) vaccine against H7N9 influenza is immunogenic in mice.,Emerging microbes & infections,2,0
33220855,"Safety and immunogenicity of ChAdOx1 nCoV-19 vaccine administered in a prime-boost regimen in young and old adults (COV002): a single-blind, randomised, controlled, phase 2/3 trial.","Lancet (London, England)",1,0
26976607,SARS-like WIV1-CoV poised for human emergence.,Proceedings of the National Academy of Sciences of the United States of America,2,0
4305197,An epidemiologic study of altered clinical reactivity to respiratory syncytial (RS) virus infection in children previously vaccinated with an inactivated RS virus vaccine.,American journal of epidemiology,2,0
27332149,Persistence of Antibodies against Middle East Respiratory Syndrome Coronavirus.,Emerging infectious diseases,2,0
28457665,Preclinical and Clinical Demonstration of Immunogenicity by mRNA Vaccines against H10N8 and H7N9 Influenza Viruses.,Molecular therapy : the journal of the American Society of Gene Therapy,2,0
25359562,mRNA transcript therapy.,Expert review of vaccines,2,0
29519670,Heterologous Two-Dose Vaccination with Simian Adenovirus and Poxvirus Vectors Elicits Long-Lasting Cellular Immunity to Influenza Virus A in Healthy Adults.,EBioMedicine,2,0
32616673,Primary exposure to SARS-CoV-2 protects against reinfection in rhesus macaques.,"Science (New York, N.Y.)",2,0
32203366,The coronavirus pandemic in five powerful charts.,Nature,2,0
12682352,A major outbreak of severe acute respiratory syndrome in Hong Kong.,The New England journal of medicine,2,0
32259480,SARS-CoV-2 Vaccines: Status Report.,Immunity,2,1
27092831,Safety and Immunogenicity of Novel Adenovirus Type 26- and Modified Vaccinia Ankara-Vectored Ebola Vaccines: A Randomized Clinical Trial.,JAMA,2,0
4305198,Respiratory syncytial virus disease in infants despite prior administration of antigenic inactivated vaccine.,American journal of epidemiology,2,0
15096611,Severe acute respiratory syndrome coronavirus spike protein expressed by attenuated vaccinia virus protectively immunizes mice.,Proceedings of the National Academy of Sciences of the United States of America,2,0
26458833,Laboratory-Scale Production of Replication-Deficient Adenovirus Vectored Vaccines.,"Methods in molecular biology (Clifton, N.J.)",2,0
15220038,Human monoclonal antibody as prophylaxis for SARS coronavirus infection in ferrets.,"Lancet (London, England)",2,0
23306021,Transfection efficiency and transgene expression kinetics of mRNA delivered in naked and nanoparticle format.,Journal of controlled release : official journal of the Controlled Release Society,2,0
15265895,IFN-alpha subtypes differentially affect human T cell motility.,"Journal of immunology (Baltimore, Md. : 1950)",2,0
31371616,A proof of concept for structure-based vaccine design targeting RSV in humans.,"Science (New York, N.Y.)",2,0
21150709,Messenger RNA-based vaccines with dual activity induce balanced TLR-7 dependent adaptive immune responses and provide antitumor activity.,"Journal of immunotherapy (Hagerstown, Md. : 1997)",2,0
12690091,Identification of a novel coronavirus in patients with severe acute respiratory syndrome.,The New England journal of medicine,2,0
32142651,SARS-CoV-2 Cell Entry Depends on ACE2 and TMPRSS2 and Is Blocked by a Clinically Proven Protease Inhibitor.,Cell,2,0
16035944,Vaccine design for severe acute respiratory syndrome coronavirus.,Viral immunology,2,0
29872003,ISOLDE: a physically realistic environment for model building into low-resolution electron-density maps.,"Acta crystallographica. Section D, Structural biology",2,0
32199492,"Safety, reactogenicity, and immunogenicity of a chimpanzee adenovirus vectored Ebola vaccine in children in Africa: a randomised, observer-blind, placebo-controlled, phase 2 trial.",The Lancet. Infectious diseases,2,0
15367630,Retroviruses pseudotyped with the severe acute respiratory syndrome coronavirus spike protein efficiently infect cells expressing angiotensin-converting enzyme 2.,Journal of virology,2,0
29277291,Adaptive evolution influences the infectious dose of MERS-CoV necessary to achieve severe respiratory disease.,Virology,2,0
32640463,Factors associated with COVID-19-related death using OpenSAFELY.,Nature,2,0
7839312,Properties of inhibitory and excitatory synapses between hippocampal neurons in very low density cultures.,"Synapse (New York, N.Y.)",2,0
32007145,Genomic characterisation and epidemiology of 2019 novel coronavirus: implications for virus origins and receptor binding.,"Lancet (London, England)",2,0
29069368,Immune Responses to Twice-Annual Influenza Vaccination in Older Adults in Hong Kong.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2,0
32267220,Severe Acute Respiratory Syndrome Coronavirus 2-Specific Antibody Responses in Coronavirus Disease Patients.,Emerging infectious diseases,2,0
20461061,Targeted delivery of RNAi therapeutics with endogenous and exogenous ligand-based mechanisms.,Molecular therapy : the journal of the American Society of Gene Therapy,2,0
33077678,Prospects for a safe COVID-19 vaccine.,Science translational medicine,1,0
15194798,An exposed domain in the severe acute respiratory syndrome coronavirus spike protein induces neutralizing antibodies.,Journal of virology,2,0
14567964,Fatal systemic inflammatory response syndrome in a ornithine transcarbamylase deficient patient following adenoviral gene transfer.,Molecular genetics and metabolism,2,0
14569023,Reverse genetics with a full-length infectious cDNA of severe acute respiratory syndrome coronavirus.,Proceedings of the National Academy of Sciences of the United States of America,2,0
17313487,Immunosenescence: emerging challenges for an ageing population.,Immunology,2,0
18753223,Severe acute respiratory syndrome vaccine efficacy in ferrets: whole killed virus and adenovirus-vectored vaccines.,The Journal of general virology,2,0
16195440,Virology. Researchers tie deadly SARS virus to bats.,"Science (New York, N.Y.)",2,0
15530413,Inactivated SARS-CoV vaccine elicits high titers of spike protein-specific antibodies that block receptor binding and virus entry.,Biochemical and biophysical research communications,2,0
20008423,Motavizumab for prophylaxis of respiratory syncytial virus in high-risk children: a noninferiority trial.,Pediatrics,2,0
32207377,Establishment and validation of a pseudovirus neutralization assay for SARS-CoV-2.,Emerging microbes & infections,2,0
15314040,A subcutaneously injected UV-inactivated SARS coronavirus vaccine elicits systemic humoral immunity in mice.,International immunology,2,0
1889744,Modulation of firefly luciferase stability and impact on studies of gene regulation.,Gene,2,0
27578435,"Structure, Function, and Evolution of Coronavirus Spike Proteins.",Annual review of virology,2,0
32235945,Virological assessment of hospitalized patients with COVID-2019.,Nature,2,0
22908294,Nonviral delivery of self-amplifying RNA vaccines.,Proceedings of the National Academy of Sciences of the United States of America,2,0
11599686,Increased immunogenicity of the MF59-adjuvanted influenza vaccine compared to a conventional subunit vaccine in elderly subjects.,European journal of epidemiology,2,0
31986264,"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China.","Lancet (London, England)",2,0
32877576,Phase 1-2 Trial of a SARS-CoV-2 Recombinant Spike Protein Nanoparticle Vaccine.,The New England journal of medicine,1,1
14715271,A model of the ACE2 structure and function as a SARS-CoV receptor.,Biochemical and biophysical research communications,2,0
12781533,Epidemiological determinants of spread of causal agent of severe acute respiratory syndrome in Hong Kong.,"Lancet (London, England)",2,0
32785213,Phase I/II study of COVID-19 RNA vaccine BNT162b1 in adults.,Nature,2,0
28413427,Immunogenicity and safety of a respiratory syncytial virus fusion protein (RSV F) nanoparticle vaccine in older adults.,Immunity & ageing : I & A,2,0
30681265,"OMIP-052: An 18-Color Panel for Measuring Th1, Th2, Th17, and Tfh Responses in Rhesus Macaques.",Cytometry. Part A : the journal of the International Society for Analytical Cytology,2,0
26259809,"A Randomized, Blinded, Controlled, Dose-Ranging Study of a Respiratory Syncytial Virus Recombinant Fusion (F) Nanoparticle Vaccine in Healthy Women of Childbearing Age.",The Journal of infectious diseases,2,0
32079150,Incubation Period and Other Epidemiological Characteristics of 2019 Novel Coronavirus Infections with Right Truncation: A Statistical Analysis of Publicly Available Case Data.,Journal of clinical medicine,2,0
15755610,Evaluation of modified vaccinia virus Ankara based recombinant SARS vaccine in ferrets.,Vaccine,2,0
8559660,Stabilization of RNA stacking by pseudouridine.,Nucleic acids research,2,0
15286725,Fibrotic disease and the T(H)1/T(H)2 paradigm.,Nature reviews. Immunology,2,0
25119609,Efficacy of high-dose versus standard-dose influenza vaccine in older adults.,The New England journal of medicine,2,0
30616012,"Efficacy, safety and immunogenicity of live attenuated varicella vaccine in healthy children in China: double-blind, randomized, placebo-controlled clinical trial.",Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases,2,0
22816037,Mechanisms of coronavirus cell entry mediated by the viral spike protein.,Viruses,2,0
18824060,A SARS DNA vaccine induces neutralizing antibody and cellular immune responses in healthy adults in a Phase I clinical trial.,Vaccine,2,0
26218507,Evaluation of candidate vaccine approaches for MERS-CoV.,Nature communications,2,0
15731234,B-cell responses in patients who have recovered from severe acute respiratory syndrome target a dominant site in the S2 domain of the surface spike glycoprotein.,Journal of virology,2,0
32926660,Review of Current Vaccine Development Strategies to Prevent Coronavirus Disease 2019 (COVID-19).,Toxicologic pathology,1,0
32670071,Convalescent Plasma Coupled With Medications for the Treatment of a Severe COVID-19 Patient: Drugs Analysis and Pharmaceutical Care Based on the Newly Established Guidelines for COVID-19 Remedy.,Frontiers in pharmacology,2,0
30501873,Vaccination in the elderly: The challenge of immune changes with aging.,Seminars in immunology,2,0
32497196,Neutralizing Antibodies Responses to SARS-CoV-2 in COVID-19 Inpatients and Convalescent Patients.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2,0
8552671,"In vitro activation of the interferon-induced, double-stranded RNA-dependent protein kinase PKR by RNA from the 3' untranslated regions of human alpha-tropomyosin.",Proceedings of the National Academy of Sciences of the United States of America,2,0
32526206,SARS-CoV-2 Reverse Genetics Reveals a Variable Infection Gradient in the Respiratory Tract.,Cell,2,1
12163607,"Stabilization of the soluble, cleaved, trimeric form of the envelope glycoprotein complex of human immunodeficiency virus type 1.",Journal of virology,2,0
32979941,Robust T Cell Immunity in Convalescent Individuals with Asymptomatic or Mild COVID-19.,Cell,2,0
28807998,Immunogenicity and structures of a rationally designed prefusion MERS-CoV spike antigen.,Proceedings of the National Academy of Sciences of the United States of America,2,0
18656518,The contribution of type I interferon signaling to immunity induced by alphavirus replicon vaccines.,Vaccine,2,0
28931244,The Importance of Frailty in the Assessment of Influenza Vaccine Effectiveness Against Influenza-Related Hospitalization in Elderly People.,The Journal of infectious diseases,2,0
15749124,Identification of a critical neutralization determinant of severe acute respiratory syndrome (SARS)-associated coronavirus: importance for designing SARS vaccines.,Virology,2,0
22166544,"RNAscope: a novel in situ RNA analysis platform for formalin-fixed, paraffin-embedded tissues.",The Journal of molecular diagnostics : JMD,2,0
32595632,Structure-Based Design of Nipah Virus Vaccines: A Generalizable Approach to Paramyxovirus Immunogen Development.,Frontiers in immunology,2,0
17200946,Immunosenescence of ageing.,The Journal of pathology,2,0
15208624,The RNA helicase RIG-I has an essential function in double-stranded RNA-induced innate antiviral responses.,Nature immunology,2,0
20110095,Immunization with an attenuated severe acute respiratory syndrome coronavirus deleted in E protein protects against lethal respiratory disease.,Virology,2,0
19234811,Differential characteristics of the early stage of lung inflammation induced by SARS-CoV Nucleocapsid protein related to age in the mouse.,Inflammation research : official journal of the European Histamine Research Society ... [et al.],2,0
19036930,Synthetic recombinant bat SARS-like coronavirus is infectious in cultured cells and in mice.,Proceedings of the National Academy of Sciences of the United States of America,2,0
29467399,Assessment of novel vaccination regimens using viral vectored liver stage malaria vaccines encoding ME-TRAP.,Scientific reports,2,0
32346146,The race for coronavirus vaccines: a graphical guide.,Nature,2,0
29066091,Influenza vaccination in tropical and subtropical areas.,The Lancet. Respiratory medicine,2,0
32015507,A pneumonia outbreak associated with a new coronavirus of probable bat origin.,Nature,2,0
32896291,"Safety and immunogenicity of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine in two formulations: two open, non-randomised phase 1/2 studies from Russia.","Lancet (London, England)",2,0
12184362,Mechanisms of stimulation of the immune response by aluminum adjuvants.,Vaccine,2,0
23824369,Traditional and new influenza vaccines.,Clinical microbiology reviews,2,0
33089772,"Serologic Responses in Healthy Adult with SARS-CoV-2 Reinfection, Hong Kong, August 2020.",Emerging infectious diseases,2,0
23618766,Structure of RSV fusion glycoprotein trimer bound to a prefusion-specific neutralizing antibody.,"Science (New York, N.Y.)",2,0
32277878,"First-wave COVID-19 transmissibility and severity in China outside Hubei after control measures, and second-wave scenario planning: a modelling impact assessment.","Lancet (London, England)",2,0
6072745,Altered reactivity to measles virus. Atypical measles in children previously immunized with inactivated measles virus vaccines.,JAMA,2,0
24453361,Blocking of exchange proteins directly activated by cAMP leads to reduced replication of Middle East respiratory syndrome coronavirus.,Journal of virology,2,0
16121363,A serological survey on neutralizing antibody titer of SARS convalescent sera.,Journal of medical virology,2,0
21632986,MF59 adjuvant enhances diversity and affinity of antibody-mediated immune response to pandemic influenza vaccines.,Science translational medicine,2,0
32346093,"The trinity of COVID-19: immunity, inflammation and intervention.",Nature reviews. Immunology,2,1
14976262,Species-specific recognition of single-stranded RNA via toll-like receptor 7 and 8.,"Science (New York, N.Y.)",2,0
14963300,Medicine. Caution urged on SARS vaccines.,"Science (New York, N.Y.)",2,0
31402384,Safety and Immunogenicity of a Respiratory Syncytial Virus Fusion (F) Protein Nanoparticle Vaccine in Healthy Third-Trimester Pregnant Women and Their Infants.,The Journal of infectious diseases,2,0
22782619,Maximizing the potency of siRNA lipid nanoparticles for hepatic gene silencing in vivo.,Angewandte Chemie (International ed. in English),2,0
32637598,Impact of mRNA chemistry and manufacturing process on innate immune activation.,Science advances,2,0
27892925,A mouse model for MERS coronavirus-induced acute respiratory distress syndrome.,Nature microbiology,2,0
14670965,A 193-amino acid fragment of the SARS coronavirus S protein efficiently binds angiotensin-converting enzyme 2.,The Journal of biological chemistry,2,0
32393526,A strategic approach to COVID-19 vaccine R&amp;D.,"Science (New York, N.Y.)",2,0
25830322,A Recombinant Vesicular Stomatitis Virus Ebola Vaccine.,The New England journal of medicine,2,0
16169905,Severe acute respiratory syndrome coronavirus-like virus in Chinese horseshoe bats.,Proceedings of the National Academy of Sciences of the United States of America,2,0
15210961,Contributions of the structural proteins of severe acute respiratory syndrome coronavirus to protective immunity.,Proceedings of the National Academy of Sciences of the United States of America,2,0
32433465,Immunogenicity of a DNA vaccine candidate for COVID-19.,Nature communications,2,1
25629663,A Monovalent Chimpanzee Adenovirus Ebola Vaccine Boosted with MVA.,The New England journal of medicine,2,0
32555134,"Coronavirus Disease 2019 Case Surveillance - United States, January 22-May 30, 2020.",MMWR. Morbidity and mortality weekly report,2,0
23051623,Manual restraint and common compound administration routes in mice and rats.,Journal of visualized experiments : JoVE,2,0
17037596,"Resurrection of an ""extinct"" SARS-CoV isolate GD03 from late 2003.",Advances in experimental medicine and biology,2,0
6754243,Antibody-mediated enhancement of disease in feline infectious peritonitis: comparisons with dengue hemorrhagic fever.,"Comparative immunology, microbiology and infectious diseases",2,0
27708058,Rapid development of a DNA vaccine for Zika virus.,"Science (New York, N.Y.)",2,0
19800030,Phylogenetic perspectives on the epidemiology and origins of SARS and SARS-like coronaviruses.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",2,0
32887977,Broad and strong memory CD4<sup>+</sup> and CD8<sup>+</sup> T cells induced by SARS-CoV-2 in UK convalescent individuals following COVID-19.,Nature immunology,2,0
32434946,SARS-CoV-2 infection protects against rechallenge in rhesus macaques.,"Science (New York, N.Y.)",2,0
26465999,Adjuvanted Herpes Zoster Subunit Vaccine in Older Adults.,The New England journal of medicine,1,0
16873249,Supramolecular architecture of severe acute respiratory syndrome coronavirus revealed by electron cryomicroscopy.,Journal of virology,2,0
30551178,Comparative Immunogenicity of Enhanced Seasonal Influenza Vaccines in Older Adults: A Systematic Review and Meta-analysis.,The Journal of infectious diseases,2,0
14976261,Innate antiviral responses by means of TLR7-mediated recognition of single-stranded RNA.,"Science (New York, N.Y.)",2,0
33335322,Phase 1/2 trial of SARS-CoV-2 vaccine ChAdOx1 nCoV-19 with a booster dose induces multifunctional antibody responses.,Nature medicine,2,0
25714138,Immunogenicity of intramuscular MF59-adjuvanted and intradermal administered influenza enhanced vaccines in subjects aged over 60: A literature review.,Human vaccines & immunotherapeutics,2,0
26264835,Expression kinetics of nucleoside-modified mRNA delivered in lipid nanoparticles to mice by various routes.,Journal of controlled release : official journal of the Controlled Release Society,1,0
16461566,Specific epitopes of the structural and hypothetical proteins elicit variable humoral responses in SARS patients.,Journal of clinical pathology,2,0
33301246,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine.,The New England journal of medicine,0,1
25882242,Type 2 cytokines: mechanisms and therapeutic strategies.,Nature reviews. Immunology,2,0
32555388,Convergent antibody responses to SARS-CoV-2 in convalescent individuals.,Nature,2,0
20463105,Correlates of protection induced by vaccination.,Clinical and vaccine immunology : CVI,2,0
18018769,Safety and immunogenicity from a phase I trial of inactivated severe acute respiratory syndrome coronavirus vaccine.,Antiviral therapy,2,0
23526951,Risk in vaccine research and development quantified.,PloS one,2,0
19345285,A novel histologic scoring system to evaluate mucosal biopsies from patients with eosinophilic esophagitis.,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,2,0
15043961,Interaction between heptad repeat 1 and 2 regions in spike protein of SARS-associated coronavirus: implications for virus fusogenic mechanism and identification of fusion inhibitors.,"Lancet (London, England)",2,0
19079256,Lack of antibody affinity maturation due to poor Toll-like receptor stimulation leads to enhanced respiratory syncytial virus disease.,Nature medicine,2,0
12781535,Clinical progression and viral load in a community outbreak of coronavirus-associated SARS pneumonia: a prospective study.,"Lancet (London, England)",2,0
32731258,ChAdOx1 nCoV-19 vaccine prevents SARS-CoV-2 pneumonia in rhesus macaques.,Nature,1,0
27346939,"Available influenza vaccines: immunization strategies, history and new tools for fighting the disease.",Journal of preventive medicine and hygiene,2,0
10918143,Optimization of repeated-batch transcription for RNA production.,Biotechnology and bioengineering,2,0
32943637,"A systematic review of antibody mediated immunity to coronaviruses: kinetics, correlates of protection, and association with severity.",Nature communications,2,0
31613649,Aiming for protective T-cell responses: a focus on the first generation conserved-region HIVconsv vaccines in preventive and therapeutic clinical trials.,Expert review of vaccines,2,0
15814718,Receptor-binding domain of severe acute respiratory syndrome coronavirus spike protein contains multiple conformation-dependent epitopes that induce highly potent neutralizing antibodies.,"Journal of immunology (Baltimore, Md. : 1950)",2,0
23296925,In vitro transcription of long RNA containing modified nucleosides.,"Methods in molecular biology (Clifton, N.J.)",2,0
30785039,Optimization of Lipid Nanoparticles for Intramuscular Administration of mRNA Vaccines.,Molecular therapy. Nucleic acids,2,0
32366511,Developing a vaccine for covid-19.,BMJ (Clinical research ed.),2,0
33378609,Efficacy and Safety of the mRNA-1273 SARS-CoV-2 Vaccine.,The New England journal of medicine,0,0
16586358,Dose-related safety and immunogenicity of a trivalent baculovirus-expressed influenza-virus hemagglutinin vaccine in elderly adults.,The Journal of infectious diseases,2,0
32064853,[The epidemiological characteristics of an outbreak of 2019 novel coronavirus diseases (COVID-19) in China].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,2,0
20980507,Successful vaccination strategies that protect aged mice from lethal challenge from influenza virus and heterologous severe acute respiratory syndrome coronavirus.,Journal of virology,2,0
15155925,"Infectious diseases. One year after outbreak, SARS virus yields some secrets.","Science (New York, N.Y.)",2,0
32473127,Targets of T Cell Responses to SARS-CoV-2 Coronavirus in Humans with COVID-19 Disease and Unexposed Individuals.,Cell,2,0
32385100,Rapid COVID-19 vaccine development.,"Science (New York, N.Y.)",2,0
30703077,"Postlicensure Safety Surveillance of Recombinant Zoster Vaccine (Shingrix) - United States, October 2017-June 2018.",MMWR. Morbidity and mortality weekly report,2,0
23542122,A simple method of mouse lung intubation.,Journal of visualized experiments : JoVE,2,0
32663912,An mRNA Vaccine against SARS-CoV-2 - Preliminary Report.,The New England journal of medicine,1,1
21619905,"International seroepidemiology of adenovirus serotypes 5, 26, 35, and 48 in pediatric and adult populations.",Vaccine,2,0
25233993,mRNA-based therapeutics--developing a new class of drugs.,Nature reviews. Drug discovery,2,0
29456015,Multi-antigenic human cytomegalovirus mRNA vaccines that elicit potent humoral and cell-mediated immunity.,Vaccine,2,0
31591575,Real-time cryo-electron microscopy data preprocessing with Warp.,Nature methods,2,0
28165473,cryoSPARC: algorithms for rapid unsupervised cryo-EM structure determination.,Nature methods,2,0
31312806,Therapeutic Vaccination Refocuses T-cell Responses Towards Conserved Regions of HIV-1 in Early Treated Individuals (BCN 01 study).,EClinicalMedicine,2,0
18582997,Alphavirus replicon particles acting as adjuvants promote CD8+ T cell responses to co-delivered antigen.,Vaccine,2,0
15033360,Very fast folding and association of a trimerization domain from bacteriophage T4 fibritin.,Journal of molecular biology,2,0
28635557,"Cellular immune responses of older adults to four influenza vaccines: Results of a randomized, controlled comparison.",Human vaccines & immunotherapeutics,2,0
14564000,LMO2-associated clonal T cell proliferation in two patients after gene therapy for SCID-X1.,"Science (New York, N.Y.)",2,0
31986261,A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating person-to-person transmission: a study of a family cluster.,"Lancet (London, England)",2,0
31712433,mRNA structure regulates protein expression through changes in functional half-life.,Proceedings of the National Academy of Sciences of the United States of America,2,0
29897849,Improved Titers against Influenza Drift Variants with a Nanoparticle Vaccine.,The New England journal of medicine,2,0
18562523,Cathepsin L functionally cleaves the severe acute respiratory syndrome coronavirus class I fusion protein upstream of rather than adjacent to the fusion peptide.,Journal of virology,2,0
15572765,Coot: model-building tools for molecular graphics.,"Acta crystallographica. Section D, Biological crystallography",2,0
32087114,An interactive web-based dashboard to track COVID-19 in real time.,The Lancet. Infectious diseases,2,0
15827197,Aged BALB/c mice as a model for increased severity of severe acute respiratory syndrome in elderly humans.,Journal of virology,2,0
15670750,The role of apolipoprotein E in the elimination of liposomes from blood by hepatocytes in the mouse.,Biochemical and biophysical research communications,2,0
19393959,Incubation periods of acute respiratory viral infections: a systematic review.,The Lancet. Infectious diseases,2,0
32726802,A vaccine targeting the RBD of the S protein of SARS-CoV-2 induces protective immunity.,Nature,2,0
32320465,Phase 1 Safety and Immunogenicity Study of a Respiratory Syncytial Virus Vaccine With an Adenovirus 26 Vector Encoding Prefusion F (Ad26.RSV.preF) in Adults Aged ≥60 Years.,The Journal of infectious diseases,2,0
28017642,"Immunity duration of a recombinant adenovirus type-5 vector-based Ebola vaccine and a homologous prime-boost immunisation in healthy adults in China: final report of a randomised, double-blind, placebo-controlled, phase 1 trial.",The Lancet. Global health,2,0
32722908,Evaluation of the mRNA-1273 Vaccine against SARS-CoV-2 in Nonhuman Primates.,The New England journal of medicine,1,1
12734147,Clinical features and short-term outcomes of 144 patients with SARS in the greater Toronto area.,JAMA,2,0
27617430,Glycan shield and epitope masking of a coronavirus spike protein observed by cryo-electron microscopy.,Nature structural & molecular biology,2,0
17416434,Vaccines to prevent severe acute respiratory syndrome coronavirus-induced disease.,Virus research,2,0
16022774,SARS vaccine development.,Emerging infectious diseases,2,0
23799535,Biodegradable lipids enabling rapidly eliminated lipid nanoparticles for systemic delivery of RNAi therapeutics.,Molecular therapy : the journal of the American Society of Gene Therapy,2,0
29566112,Novel Vaccine Technologies: Essential Components of an Adequate Response to Emerging Viral Diseases.,JAMA,2,0
16213065,Antibody response to influenza vaccination in the elderly: a quantitative review.,Vaccine,2,0
