title,journal,pubDate
Society for Cardiovascular Magnetic Resonance (SCMR) recommended CMR protocols for scanning patients with active or convalescent phase COVID-19 infection,Journal of Cardiovascular Magnetic Resonance,2020-09-03
1699P COVID-19 pandemic: Patients’ perspective during cancer treatment,Annals of Oncology,2020-09-22
Minimizing the Risk of Aerosol Contamination During Elective Lung Resection Surgery,Annals of Surgery,2020-05-19
Changes in Physical Activity and Sedentary Behavior Amid Confinement: The BKSQ-COVID-19 Project,Risk Management and Healthcare Policy,2020-09-25
Prevention and control strategies of general surgeons under COVID-19 pandemic,Surgery in Practice and Science,2020-07-05
"Breakthroughs in Medicinal Chemistry: New Targets and Mechanisms, New Drugs, New Hopes–7",Molecules,2020-06-28
Sodium‐glucose‐co‐transporter‐2 inhibitors and susceptibility to ‐19: a population‐based retrospective cohort study,"Diabetes, Obesity & Metabolism",2020-09-29
Cell‐mediated immunity to SARS‐CoV‐2,Pediatric Investigation,2020-12-28
Methodology minute: a machine learning primer for infection prevention and control,American Journal of Infection Control,2020-10-01
Mass Events Trigger Malta's Second Peak After Initial Successful Pandemic Suppression,Journal of Community Health,2020-09-16
Challenges and strategies for effective plastic waste management during and post COVID-19 pandemic,The Science of the Total Environment,2020-08-04
The effectiveness of quarantine and isolation determine the trend of the COVID-19 epidemic in the final phase of the current outbreak in China,International Journal of Infectious Diseases,2020-06-04
Assessment of Time-to-Treatment Initiation and Survival in a Cohort of Patients With Common Cancers,JAMA Network Open,2020-12-14
The Potential Impact and Availability of Sexual Health Services During the COVID-19 Pandemic,Sexually Transmitted Diseases,2020-06-11
Cross-neutralization activity against SARS-CoV-2 is present in currently available intravenous immunoglobulins,Immunotherapy,2020-09-09
Development of new hybrid model of discrete wavelet decomposition and autoregressive integrated moving average (ARIMA) models in application to one month forecast the casualties cases of COVID-19,"Chaos, Solitons, and Fractals",2020-05-11
Is SARS-CoV-2 Also an Enteric Pathogen With Potential Fecal–Oral Transmission? A COVID-19 Virological and Clinical Review,Gastroenterology,2020-04-27
Understanding the Mechanisms Underlying Host Restriction of Insect-Specific Viruses,Viruses,2020-08-31
"Impact of the COVID-19 Pandemic on HIV Testing and Assisted Partner Notification Services, Western Kenya",AIDS and Behavior,2020-06-02
C-X-C Motif Chemokine 10 Contributes to the Development of Neuropathic Pain by Increasing the Permeability of the Blood–Spinal Cord Barrier,Frontiers in Immunology,2020-03-20
What one pandemic can teach us in facing another,"AIDS (London, England)",2020-09-03
Psychological Defence Mechanisms during the COVID-19 pandemic: A Case Series,The European Journal of Psychiatry,2020-11-07
"Stroke, Research and Science in the Time of COVID",Stroke,2020-07-31
Maintaining Health and Well-Being by Putting Faith into Action During the COVID-19 Pandemic,Journal of Religion and Health,2020-05-14
"Sensitivity of nasopharyngeal, oropharyngeal, and nasal wash specimens for SARS-CoV-2 detection in the setting of sampling device shortage",European Journal of Clinical Microbiology & Infectious Diseases,2020-09-17
Alcohol consumption and other mental health problems up during COVID‐19: Study,Alcoholism & Drug Abuse Week,2020-10-16
"COVID-19: Coagulopathy, Risk of Thrombosis, and the Rationale for Anticoagulation",Clinical and Applied Thrombosis/Hemostasis,2020-07-17
Nontraditional Antibiotics—Challenges and Triumphs,Antibiotics,2020-04-09
SARS-CoV-2 and the safety margins of cell-based biological medicinal products,Biologicals,2020-08-29
China’s Influence in Asia: How Do Individual Perceptions Matter?,"East Asia (Piscataway, N.j.)",2020-06-02
Cytokine profile as a prognostic tool in coronavirus disease 2019. Comment on “Urgent avenues in the treatment of COVID-19: Targeting downstream inflammation to prevent catastrophic syndrome” by Quartuccio et al. Joint Bone Spine. 2020;87:191–93,Joint Bone Spine,2020-09-17
514. Clinical features and outcomes of 112 patients with SARS-CoV-2 infections requiring intensive care in a public healthcare system in South Florida,Open Forum Infectious Diseases,2020-12-31
Deutsche Gesellschaft für Neurologie (DGN): Kongress 2020 im digitalen Format,DGNeurologie,2020-10-23
"Cognitive, Behavioral, and Emotional Disorders in Populations Affected by the COVID-19 Outbreak",Frontiers in Psychology,2020-09-16
Supporting measurements or more averages? How to quantify cerebral blood flow most reliably in 5 minutes by arterial spin labeling,Magnetic Resonance in Medicine,2020-05-19
Disrupted food systems in the WHO European region – a threat or opportunity for healthy and sustainable food and nutrition?,Food Security,2020-07-23
One fly–one genome: chromosome-scale genome assembly of a single outbred,Nucleic Acids Research,2020-06-03
Improved clinical symptoms and mortality among patients with severe or critical COVID-19 after convalescent plasma transfusion,Blood,2020-08-06
"An Epidemic Recovery Framework to Jump-start Analysis, Planning, and Action on a Neglected Aspect of Global Health Security",Clinical Infectious Diseases: An Official Publication of the Infectious Diseases Society of America,2020-04-29
Squalene Emulsion Manufacturing Process Scale-Up for Enhanced Global Pandemic Response,Pharmaceuticals,2020-07-28
Airway management team for patients with COVID-19: A new role for emergency medicine pharmacists,American Journal of Health-System Pharmacy: AJHP,2020-05-28
SARS-CoV-2 recurrent RNA positivity after recovering from coronavirus disease 2019 (COVID-19): a meta-analysis,Acta Bio Medica : Atenei Parmensis,2020-09-07
"Update to Our Reader, Reviewer, and Author Communities—April2020",ACS Omega,2020-04-22
Disentangling primer interactions improves SARS-CoV-2 genome sequencing by multiplex tiling PCR,PLoS ONE,2020-09-18
Mental Health and Work Attitudes among People Resuming Work during the COVID-19 Pandemic: A Cross-Sectional Study in China,International Journal of Environmental Research and Public Health,2020-07-14
"COVID-19 fatalities, latitude, sunlight, and vitamin D",American Journal of Infection Control,2020-06-26
Mast cell degranulation and histamine release during A/H5N1 influenza infection in influenza-sensitized mice,Life Sciences,2020-08-08
"Can surgery continue safely during a pandemic? A commentary on “Surgical activity during the Covid-19 pandemic: Results for 112 patients in a French tertiary care center, a quality improvement study”","International Journal of Surgery (London, England)",2020-11-04
Leveraging telemedicine to preserve pediatric global health missions in the era of COVID-19,International Journal of Pediatric Otorhinolaryngology,2020-11-12
Pflege Perspektiven,Die Heilberufe,2020-04-06
Biomimetic nanoparticles as universal influenza vaccine,Smart Materials in Medicine,2020-04-13
COVID-19 and Other Pandemics: How Might They Be Prevented?,ACS Infectious Diseases,2020-06-01
High-grade heart block requiring transvenous pacing associated with multisystem inflammatory syndrome in children during the COVID-19 pandemic,HeartRhythm Case Reports,2020-08-25
Is it correct to estimate mental disorder through online surveys during COVID-19 pandemic?,Psychiatry Research,2020-06-22
Osteoporotic Fractures in the Time of ‐19,Journal of Bone and Mineral Research,2020-06-21
"Evidence of SARS-CoV-2 Infection in Returning Travelers from Wuhan, China",The New England Journal of Medicine,2020-03-26
Coronavirus Disease 2019 (COVID-19) CT Findings: A Systematic Review and Meta-analysis,Journal of the American College of Radiology,2020-03-25
Interest of the cellular population data analysis as an aid in the early diagnosis of SARS‐CoV‐2 infection,International Journal of Laboratory Hematology,2020-08-19
Complementary and alternative therapies for post-traumatic stress disorder: A protocol for systematic review and network meta-analysis,Medicine,2020-07-10
Over 90% of clinical swabs used for SARS‐CoV‐2 diagnostics contain sufficient nucleic acid concentrations,Journal of Medical Virology,2020-12-02
Triaging Total Hip Arthroplasty During the COVID-19 Pandemic,Current Reviews in Musculoskeletal Medicine,2020-05-22
Self-employment and cardiovascular risk in the US general population,International Journal of Cardiology Hypertension,2020-06-11
Recommendations from the Brazilian Society of Nephrology for approaching Covid-19 Diagnostic Testing in Dialysis Units,Jornal Brasileiro de Nefrologia,2020-08-26
Consumers’ Intentions to Adopt Blockchain-Based Personal Health Records and Data Sharing: Focus Group Study,JMIR Formative Research,2020-11-05
The Urgency of Conducting Serological Studies for COVID-19,Journal of Research in Health Sciences,2020-05-30
Targeting Host Defense System and Rescuing Compromised Mitochondria to Increase Tolerance against Pathogens by Melatonin May Impact Outcome of Deadly Virus Infection Pertinent to COVID-19,Molecules,2020-09-25
Victimes du COVID-19 : être ou ne pas être ?,Annales Medico-Psychologiques,2020-05-19
Can we Turn off the “Covid-Biting-Tail” Inflammation?,Translational Medicine @ UniSa,2020-12-31
Online University Teaching During and After the Covid-19 Crisis: Refocusing Teacher Presence and Learning Activity,Postdigital Science and Education,2020-07-07
"Severe Acute Respiratory Syndrome Coronavirus 2 among Asymptomatic Workers Screened for Work Resumption, China",Emerging Infectious Diseases,2020-09-01
Solving the global challenge of adolescent mental ill-health,The Lancet. Child & Adolescent Health,2020-06-23
Vitamin D can prevent COVID-19 infection-induced multiple organ damage,Naunyn-Schmiedeberg's Archives of Pharmacology,2020-05-25
The anatomy of panic buying related to the current COVID-19 pandemic,Psychiatry Research,2020-04-15
Beyond Deterministic Models in Drug Discovery and Development,Trends in Pharmacological Sciences,2020-10-05
Disproportionate burden of coronavirus disease 2019 among racial minorities and those in congregate settings among a large cohort of people with HIV,"AIDS (London, England)",2020-06-25
Collectins: Innate Immune Pattern Recognition Molecules,Lectin in Host Defense Against Microbial Infections,2020-03-10
Psychosocial Support during the COVID-19 Outbreak in Korea: Activities of Multidisciplinary Mental Health Professionals,Journal of Korean Medical Science,2020-06-04
Clinical differentiation of anticoagulant and non‐anticoagulant properties of heparin,Journal of Thrombosis and Haemostasis,2020-05-29
Novel Coronavirus Disease 2019 in a Patient on Durable Left Ventricular Assist Device Support,Journal of Cardiac Failure,2020-04-17
"Current Status of Etiology, Epidemiology, Clinical Manifestations and Imagings for COVID-19",Korean Journal of Radiology,2020-08-04
Racial Disparity Amongst Stroke Patients During the Coronavirus Disease 2019 Pandemic,Cureus,2020-09-10
"Interaction of HSPA5 (Grp78, BIP) with negatively charged phospholipid membranes via oligomerization involving the N-terminal end domain",Cell Stress & Chaperones,2020-07-28
How COVID-19 Pandemic Changed Children and Adolescents Use of the Emergency Department: the Experience of a Secondary Care Pediatric Unit in Central Italy,Sn Comprehensive Clinical Medicine,2020-09-23
One-year visiting care service treatment with Korean medicine for a solitary elderly woman in a public health setting: A case report,"Explore (New York, N.y.)",2020-04-18
In This Issue/Research Watch/News in Brief,Journal of Thoracic Oncology,2020-04-24
Deceptology in cancer and vaccine sciences: Seeds of immune destruction‐mini electric shocks in mitochondria: Neuroplasticity‐electrobiology of response profiles and increased induced diseases in four generations – A hypothesis,Clinical and Translational Medicine,2020-12-19
Commentary: Digital language and learning in the time of coronavirus,Linguistics and Education,2020-09-16
"Updated understanding of the outbreak of 2019 novel coronavirus (2019‐nCoV) in Wuhan, China",Journal of Medical Virology,2020-02-12
Preparedness and Responses Faced during the COVID-19 Pandemic in Belgium: An Observational Study and Using the National Open Data,International Journal of Environmental Research and Public Health,2020-10-30
Recommendations of protective measures for orthopedic surgeons during COVID-19 pandemic,"Knee Surgery, Sports Traumatology, Arthroscopy",2020-06-10
Artificial Intelligence in Gastroenterology—Walking into the Room of Little Miracles,Journal of Clinical Medicine,2020-11-16
What role can health policy and systems research play in supporting responses to COVID-19 that strengthen socially just health systems?,Health Policy and Planning,2020-10-06
SARS-CoV-2: Future potential impact on timing of menarche and onset of the regular menstrual cycle in adolescents,Journal of Pediatric Nursing,2020-10-16
Communication with Patients and Families Regarding Health Care–Associated Exposure to Coronavirus 2019: A Checklist to Facilitate Disclosure,Joint Commission Journal on Quality and Patient Safety,2020-05-08
Safety and efficacy of tracheotomy for critically ill patients with coronavirus disease 2019 (COVID-19) in Wuhan: a case series of 14 patients,European Journal of Cardio-Thoracic Surgery : Official Journal of the European Association for Cardio-thoracic Surgery,2020-09-21
Neglect during a crisis: the stark reality,The Lancet. Neurology,2020-10-21
Family perspectives of COVID-19 research,Research Involvement and Engagement,2020-11-30
The strategies of perioperative management in orthopedic department during the pandemic of COVID-19,Journal of Orthopaedic Surgery and Research,2020-10-15
Learning to make informed health choices: Protocol for a pilot study in schools in Barcelona,F1000Research,2020-06-15
A safety consideration of mesenchymal stem cell therapy on COVID-19,Stem Cell Research,2020-10-24
"Schlechte Luft, miese Stimmung: Depression",Mmw Fortschritte Der Medizin,2020-05-14
Identification of influential users on Twitter: A novel weighted correlated influence measure for Covid-19,"Chaos, Solitons, and Fractals",2020-06-20
Bolstering the surgical response to COVID‐19: how virtual technology will save lives and safeguard surgical practice,Bju International,2020-04-29
Emergence and Reemergence of Severe Acute Respiratory Syndrome (SARS) Coronaviruses,Coronavirus Disease 2019 (COVID-19),2020-04-30
Decoding the global outbreak of COVID-19: the nature is behind the scene,VirusDisease,2020-06-22
The Covid-19 Vaccine-Development Multiverse,The New England Journal of Medicine,2020-07-14
"Novel and Diverse Non-Rabies Rhabdoviruses Identified in Bats with Human Exposure, South Dakota, USA",Viruses,2020-12-08
Is There a Link Between the Pathogenic Human Coronavirus Envelope Protein and Immunopathology? A Review of the Literature,Frontiers in Microbiology,2020-09-03
Global and local mobility as a barometer for COVID-19 dynamics,medRxiv,2020-08-11
Stress and anxiety among university students in France during Covid-19 mandatory confinement,Comprehensive Psychiatry,2020-07-12
COVID-19 control in China during mass population movements at New Year,"Lancet (London, England)",2020-02-24
Implementation of a clinical pathway for the surgical treatment of colorectal cancer during the COVID‐19 pandemic,Colorectal Disease,2020-07-12
Lower air pollution during COVID-19 lock-down: improving models and methods estimating ozone impacts on crops,"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",2020-09-28
Identification and characterization of 9-methyltransferase involved in converting caffeine into non-stimulatory theacrine in tea,Nature Communications,2020-03-19
Roles and Responsibilities of the Orthopaedic Community and the Society During COVID-19 Pandemic,Indian Journal of Orthopaedics,2020-04-14
The effectiveness of health-oriented leadership interventions for the improvement of mental health of employees in the health care sector: a systematic review,International Archives of Occupational and Environmental Health,2020-10-04
Ignac Semmelweis—Father of Hand Hygiene,The Indian Journal of Surgery,2020-05-21
IILLS: predicting virus-receptor interactions based on similarity and semi-supervised learning,BMC Bioinformatics,2019-12-27
COVID-19: Active measures to support community-dwelling older adults,Travel Medicine and Infectious Disease,2020-03-20
Lessons learned from the MERS-CoV outbreak,Cardiovascular Revascularization Medicine,2020-12-04
nCOVID-19 Pandemic: From Molecular Pathogenesis to Potential Investigational Therapeutics,Frontiers in Cell and Developmental Biology,2020-07-10
PIN82 The Influence of Social Distancing on COVID-19 Infections in the U.S.,Value in Health,2020-12-11
Bat SARS-Like WIV1 coronavirus uses the ACE2 of multiple animal species as receptor and evades IFITM3 restriction  TMPRSS2 activation of membrane fusion,Emerging Microbes & Infections,2020-07-09
Non-hexagonal neural dynamics in vowel space,AIMS Neuroscience,2020-08-04
Fighting fake news in the COVID-19 era: policy insights from an equilibrium model,Policy Sciences,2020-09-09
The crystal structure of nsp10-nsp16 heterodimer from SARS-CoV-2 in complex with S-adenosylmethionine,bioRxiv,2020-04-26
A case of acute disseminate encephalomyelitis after SARS-CoV-2 related acute respiratory distress syndrome,Journal of Neuroradiology,2020-11-18
COVID-19 pandemic preparation: using simulation for systems-based learning to prepare the largest healthcare workforce and system in Canada,Advances in Simulation,2020-08-18
"Pandemic, Quarantine, and Psychological Time",Frontiers in Psychology,2020-10-20
COVID-19: Challenges to GIS with Big Data,Geography and Sustainability,2020-03-20
Risk Overgeneralization in Times of a Contagious Disease Threat,Frontiers in Psychology,2020-06-16
Schnelles Fahrverbot droht,return,2020-06-18
The COVID-19 syndemic is not global: context matters,"Lancet (London, England)",2020-10-22
Looking for fever in Covid-19 nursing home residents: a false friend?,International Journal of Infectious Diseases,2020-12-21
"A short, animated video to improve good COVID-19 hygiene practices: a structured summary of a study protocol for a randomized controlled trial",Trials,2020-06-03
Distress and Resilience in the Days of COVID-19: Comparing Two Ethnicities,International Journal of Environmental Research and Public Health,2020-06-03
Molar Incisor Hypomineralisation—To Extract or to Restore beyond the Optimal Age?,Children,2020-08-06
Pflege & Politik,Procare,2020-09-13
"Perspective and Costing in Cost-Effectiveness Analysis, 1974–2018",Pharmacoeconomics,2020-07-22
"Perception, Attitudes, and Experiences Regarding Mental Health Problems and Web Based Mental Health Information Amongst Young People with and without Migration Background in Germany. A Qualitative Study",International Journal of Environmental Research and Public Health,2020-12-24
Nicaragua's response to COVID-19,The Lancet. Global Health,2020-04-30
Bedarfe der Langzeitpflege in der COVID-19-Pandemie,Zeitschrift Fur Gerontologie Und Geriatrie,2020-10-28
Debating the Top ID Internet Resources with Dr. Monica Mahoney,Open Forum Infectious Diseases,2020-08-12
"Nonmissile penetrating spinal injuries: Mechanisms, expectations, and management",Surgical Neurology International,2020-11-25
"Microneedle Array: Applications, Recent Advances, and Clinical Pertinence in Transdermal Drug Delivery",Journal of Pharmaceutical Innovation,2020-06-08
Disparities in Secondhand Smoke Exposure in the United States: National Health and Nutrition Examination Survey 2011-2018,JAMA Internal Medicine,2020-11-23
"424. Sensitivity Results for the Abbott m2000 PCR Assay of SARS-CoV-2 at a Denver, Colorado Medical Center",Open Forum Infectious Diseases,2020-12-31
Instructional interface’s blueprint for guiding instructional-technological interactions’ research: the Big Bang shift in K-12,Educational Technology Research and Development,2020-11-30
In vitro comparison of surgical techniques in times of the SARS-CoV-2 pandemic: electrocautery generates more droplets and aerosol than laser surgery or drilling,European Archives of Oto-Rhino-Laryngology,2020-09-07
Response of Chiropractic Organizations to the COVID-19 Pandemic: A Descriptive Report,Journal of Manipulative and Physiological Therapeutics,2020-04-20
Factors associated with COVID-19 infections and mortality in Africa: a cross-sectional study using publicly available data,BMJ Open,2020-11-11
Keep your community safe while COVID‐19 spreads globally,Dean and Provost,2020-04-27
Children and covid-19,New Scientist (1971),2020-04-10
Readiness of Community Pharmacists to Play a Supportive and Advocacy Role in the Fight Against Corona Virus Disease,Risk Management and Healthcare Policy,2020-12-24
Platform voor mensen met klachten na corona,TPO - De Praktijk,2020-10-07
"Hybridoma technology a versatile method for isolation of monoclonal antibodies, its applicability across species, limitations, advancement and future perspectives",International Immunopharmacology,2020-05-27
Performance of a Semiquantitative Multiplex Bacterial and Viral PCR Panel Compared With Standard Microbiological Laboratory Results: 396 Patients Studied With the BioFire Pneumonia Panel,Open Forum Infectious Diseases,2020-11-29
Correction: Transient acute-onset tetraparesis in a COVID-19 patient,Spinal Cord,2020-07-27
Psychiatric and neuropsychiatric syndromes and COVID-19 – Authors' reply,The Lancet. Psychiatry,2020-07-23
Hydroxychloroquine shortage,British Dental Journal,2020-06-12
Report of Positive Placental Swabs for SARS-CoV-2 in an Asymptomatic Pregnant Woman with COVID-19,Medicina,2020-06-22
After the initial COVID-19 surge: a phased radiology departmental re-opening plan,Pediatric Radiology,2020-08-22
An Ophthalmological update for air-travellers during COVID-19,Travel Medicine and Infectious Disease,2020-12-13
Repurposing Didanosine as a Potential Treatment for COVID-19 Using Single-Cell RNA Sequencing Data,mSystems,2020-04-14
Plea for multitargeted interventions for severe COVID-19,The Lancet. Infectious Diseases,2020-04-21
Teaching Old Dogs New Tricks? The Plasticity of Lung Alveolar Macrophage Subsets,Trends in Immunology,2020-09-04
Defining benchmarks for tolerable risk thresholds in cancer screening: Impact of  vaccination on the future of cervical cancer screening,International Journal of Cancer,2020-07-16
"Dépistage et diagnostic du cancer du sein à la fin de période de confinement COVID-19, aspects pratiques et hiérarchisation des priorités",Bulletin du Cancer,2020-05-07
The Impact of COVID-19 on Plastic Surgery Residency Training,Aesthetic Plastic Surgery,2020-05-26
Multilocus phylogeny- and fruiting feature-assisted delimitation of European  from a new Asian species complex and related species,Mycological Progress,2020-10-08
Comprehensive review of the recent advances in PV/T system with loop-pipe configuration and nanofluid,Renewable and Sustainable Energy Reviews,2020-08-24
Dramatic presentation of acquired thrombotic thrombocytopenic purpura associated with COVID-19,Haematologica,2020-10-01
The Role of Lung Ultrasound in the Assessment of Novel Coronavirus Pneumonia,Journal of Cardiothoracic and Vascular Anesthesia,2020-04-30
China’s Internationalized Higher Education During Covid-19: Collective Student Autoethnography,Postdigital Science and Education,2020-05-08
Neutralizing Antibodies against SARS-CoV-2 and Other Human Coronaviruses,Trends in Immunology,2020-04-02
Probabilistic reconstruction of measles transmission clusters from routinely collected surveillance data,Journal of the Royal Society Interface,2020-07-01
Mehr Geriatrisches Assessment gefordert,Im Fokus Onkologie,2020-12-14
Potential therapeutic target identification in the novel 2019 coronavirus: insight from homology modeling and blind docking study,The Egyptian Journal of Medical Human Genetics,2020-10-02
Home Dialysis in the Time of COVID-19: Reflections on Rapidly Changing Policies,Kidney Medicine,2020-11-24
The coronavirus (COVID‐19) fatality risk perception of US adult residents in March and April 2020,British Journal of Health Psychology,2020-06-10
A critical turn in marine spatial planning,Maritime Studies,2020-08-25
A Smart Band for Automatic Supervision of Restrained Patients in a Hospital Environment,"Sensors (Basel, Switzerland)",2020-09-12
Papular‐purpuric exanthem in a COVID‐19 patient: clinical and dermoscopic description,Journal of the European Academy of Dermatology and Venereology,2020-06-29
Optogenetic control of gut bacterial metabolism to promote longevity,eLife,2020-12-16
Primer caso de infección neonatal por SARS-CoV-2 en España,"Anales De Pediatria (Barcelona, Spain : 2003)",2020-03-31
Role of Complementary and Alternative Medicine in Prevention and Treatment of COVID-19: An Overhyped Hope,Chinese Journal of Integrative Medicine,2020-08-05
To Tweet or Not to Tweet—a Review of the Viral Power of Twitter for Infectious Diseases,Current Infectious Disease Reports,2020-04-24
Hybrid 3D printed-paper microfluidics,Scientific Reports,2020-10-27
The MERS-CoV Receptor DPP4 as a Candidate Binding Target of the SARS-CoV-2 Spike,iScience,2020-05-13
Alternatives to sharing COVID-19 data with law enforcement: recommendations for stakeholders,"Health Policy (Amsterdam, Netherlands)",2020-11-07
Letter to editor “A redeployment model of surgery residents to COVID-19 diagnostic and treatment zone (CDTZ). A safe and cost-effective strategy in a middle income country”,"International Journal of Surgery (London, England)",2020-10-31
Application of Article 107(2)(b) TFEU to Covid-19 Measures: State Aid to Make Good the Damage Caused by an Exceptional Occurrence,Journal of European Competition Law & Practice,2020-06-16
A thrombotic complication of COVID-19: cerebral ischaemia in the intensive care unit,Archives of Medical Sciences. Atherosclerotic Diseases,2020-09-10
"Microbial enzymes catalyzing keratin degradation: Classification, structure, function",Biotechnology Advances,2020-08-05
Dynamic changes in clinical and CT characteristics of COVID-19 cases with different exposure histories: a retrospective study,BMC Infectious Diseases,2020-08-03
A mechanism-based parameterisation scheme to investigate the association between transmission rate of COVID-19 and meteorological factors on plains in China,The Science of the Total Environment,2020-06-18
Coronaviruses in the Sea,Frontiers in Microbiology,2020-07-24
Paid family leave and children health outcomes in OECD countries,Children and Youth Services Review,2020-07-18
Navigating Uncertainty: Early Career Academics and Practices of Appraisal Devices,Minerva,2020-12-14
COVID-19 Pandemic Once Again Exposes the Weakest Link in Laboratory Services: Specimen Delivery,Laboratory Medicine,2020-09-15
How many jobs can be done at home?,Journal of Public Economics,2020-07-09
The authors reply,Critical Care Medicine,2020-08-11
"German and Chinese dataset on attitudes regarding COVID-19 policies, perception of the crisis, and belief in conspiracy theories",Data in Brief,2020-10-14
Viral indicators for tracking domestic wastewater contamination in the aquatic environment,Water Research,2020-05-10
Respiratory Viral Infections in Exacerbation of Chronic Airway Inflammatory Diseases: Novel Mechanisms and Insights From the Upper Airway Epithelium,Frontiers in Cell and Developmental Biology,2020-02-25
Comment on “A systematic evaluation of YouTube as an information source for male infertility”,International Journal of Impotence Research,2020-07-18
"Clinical Time Features and Chest Imaging of 85 Patients With COVID-19 in Zhuhai, China",Frontiers in Medicine,2020-05-08
Effects of vitamin D on macrophages and myeloid-derived suppressor cells (MDSCs) hyperinflammatory response in the lungs of COVID-19 patients,Cellular Immunology,2020-12-16
COVID-19 Infection in a Patient With Fragile-X Syndrome,Cureus,2020-10-30
An ethical algorithm for rationing life-sustaining treatment during the COVID-19 pandemic,BJA: British Journal of Anaesthesia,2020-06-02
Overcoming COVID-19: Addressing the perception of risk and transitioning protective behaviors to habits,Infection Control and Hospital Epidemiology,2020-06-09
COVID-19 is accelerating the acceptance of telemedicine in India,Journal of Family Medicine and Primary Care,2020-07-30
Persistence of SARS-CoV-2-specific antibodies in COVID-19 patients,International Immunopharmacology,2020-12-09
Alteration of taste or smell as a predictor of COVID-19,Gut,2020-07-03
Early changes in laboratory parameters are predictors of mortality and ICU admission in patients with COVID-19: a systematic review and meta-analysis,Medical Microbiology and Immunology,2020-11-21
Ste24: An Integral Membrane Protein Zinc Metalloprotease with Provocative Structure and Emergent Biology,Journal of Molecular Biology,2020-03-19
Chest CT Computerized Aided Quantification of PNEUMONIA Lesions in COVID-19 Infection: A Comparison among Three Commercial Software,International Journal of Environmental Research and Public Health,2020-09-22
Challenges faced by mental health providers and patients during the coronavirus 2019 pandemic due to technological barriers,Internet Interventions,2020-06-03
Analyzing the Quality of Twitter Data Streams,Information Systems Frontiers,2020-11-04
Document Addressed to Cardiovascular Echography Operators at the Time of COVID-19: A Document by the “Società Italiana di Ecocardiografia e CardioVascular Imaging” Board 2019–2021,Journal of Cardiovascular Echography,2020-04-13
Predicting the response of the dental pulp to SARS-CoV2 infection: a transcriptome-wide effect cross-analysis,Genes and Immunity,2020-10-03
COVID-19: A promising cure for the global panic,The Science of the Total Environment,2020-04-04
Modeling and Forecasting the COVID-19 Temporal Spread in Greece: An Exploratory Approach Based on Complex Network Defined Splines,International Journal of Environmental Research and Public Health,2020-06-30
Is asthma protective against COVID‐19?,Allergy,2020-06-17
Cellular pathology in the COVID-19 era: a European perspective on maintaining quality and safety,Journal of Clinical Pathology,2020-06-01
K18-hACE2 mice develop respiratory disease resembling severe COVID-19,bioRxiv,2020-08-11
The data room,Developments in Petroleum Science,2020-10-01
Psychological Effects of ‐19 on Parenting and  Mental Health,Dermatologic Therapy,2020-05-13
Beyond protein structure determination with MicroED,Current Opinion in Structural Biology,2020-06-28
Students create new online resource to support peers,British Dental Journal,2020-07-24
Challenges for the dental radiology clinic in times of the COVID-19 pandemic,Oral Radiology,2020-06-20
Managing college operations during the coronavirus outbreak,Journal of the American Pharmacists Association,2020-04-10
